date;valuation;cashIn;cashOut,xirr_annual,xirr_cumulative
2020-02-12;3 247 612,61;0,00;0,00;0,00000000;0,00000000
2020-02-13;3 276 767,81;0,00;0,00;0,00000000;0,00000000
2020-02-14;3 298 676,21;0,00;0,00;0,00000000;0,00000000
2020-02-15;3 296 933,81;0,00;0,00;5,25793602;0,01518691
2020-02-16;3 296 933,81;0,00;0,00;2,95661086;0,01518691
2020-02-17;3 278 415,01;0,00;0,00;0,99195196;0,00948463
2020-02-18;3 335 497,21;0,00;0,00;4,07510926;0,02706129
2020-02-19;3 283 710,01;0,00;0,00;0,77957315;0,01111506
2020-02-20;3 369 441,21;0,00;0,00;4,36674460;0,03751328
2020-02-21;3 420 795,41;0,00;0,00;7,22337707;0,05332619
2020-02-22;3 424 448,21;0,00;0,00;5,92568917;0,05445095
2020-02-23;3 424 448,21;0,00;0,00;4,80841007;0,05445095
2020-02-24;3 420 795,41;0,00;0,00;3,85610036;0,05332619
2020-02-25;3 573 216,01;0,00;0,00;3,85610036;0,05789636
2020-02-26;3 469 157,41;0,00;0,00;4,58729484;0,06821774
2020-02-27;3 788 241,21;0,00;0,00;4,58729484;0,07326487
2020-02-28;3 809 634,50;0,00;0,00;4,58729484;0,07833585
2020-02-29;3 811 448,90;0,00;0,00;4,58729484;0,08343078
2020-03-01;3 811 448,90;0,00;0,00;4,58729484;0,08854979
2020-03-02;3 822 988,30;0,00;0,00;4,58729484;0,09369298
2020-03-03;3 754 055,50;0,00;0,00;4,58729484;0,09886048
2020-03-04;3 655 866,90;0,00;0,00;6,83133106;0,12570905
2020-03-05;3 871 429,90;0,00;0,00;6,83133106;0,13207454
2020-03-06;4 196 190,30;0,00;0,00;6,83133106;0,13847602
2020-03-07;4 179 310,30;0,00;0,00;6,83133106;0,14491370
2020-03-08;4 179 310,30;0,00;0,00;6,83133106;0,15138778
2020-03-09;4 196 190,30;0,00;0,00;6,83133106;0,15789847
2020-03-10;4 790 188,30;0,00;0,00;6,83133106;0,16444598
2020-03-11;4 791 055,52;0,00;0,00;6,83133106;0,17103051
2020-03-12;4 795 344,52;0,00;0,00;6,83133106;0,17765227
2020-03-13;4 186 564,79;0,00;0,00;6,83133106;0,18431148
2020-03-14;4 196 015,99;0,00;0,00;6,83133106;0,19100834
2020-03-15;4 196 015,99;0,00;0,00;6,83133106;0,19774307
2020-03-16;4 146 164,08;800 000,00;0,00;0,39187425;0,03034582
2020-03-17;4 002 122,68;200 000,00;0,00;-0,56709956;-0,07502649
2020-03-18;4 338 306,26;0,00;0,00;0,32694141;0,02749639
2020-03-19;4 315 105,26;0,00;0,00;0,22600826;0,02030054
2020-03-20;4 557 213,06;0,00;0,00;1,39388165;0,09252048
2020-03-21;4 557 213,06;0,00;0,00;1,32664582;0,09189314
